"region","mineral","year","value"
"EU-15","steel",2020,1.04015478112986
"EU-15","steel",2025,1.02758859570313
"EU-15","steel",2030,1.01502241027641
"EU-15","steel",2035,1.00245622484968
"EU-15","steel",2040,0.989890039422953
"EU-15","steel",2045,0.977323853996226
"EU-15","steel",2050,0.964757668569499
"EU-15","steel",2055,0.964757668569499
"EU-15","steel",2060,0.964757668569499
"EU-15","steel",2065,0.964757668569499
"EU-15","steel",2070,0.964757668569499
"EU-15","steel",2075,0.964757668569499
"EU-15","steel",2080,0.964757668569499
"EU-15","steel",2085,0.964757668569499
"EU-15","steel",2090,0.964757668569499
"EU-15","steel",2095,0.964757668569499
"EU-15","steel",2100,0.964757668569499
"Europe_Eastern","steel",2015,2.56274963265508
"Europe_Eastern","steel",2020,2.35288550399365
"Europe_Eastern","steel",2025,2.14302137533221
"Europe_Eastern","steel",2030,1.93315724667077
"Europe_Eastern","steel",2035,1.72329311800933
"Europe_Eastern","steel",2040,1.5134289893479
"Europe_Eastern","steel",2045,1.30356486068646
"Europe_Eastern","steel",2050,1.09370073202502
"Europe_Eastern","steel",2055,1.09370073202502
"Europe_Eastern","steel",2060,1.09370073202502
"Europe_Eastern","steel",2065,1.09370073202502
"Europe_Eastern","steel",2070,1.09370073202502
"Europe_Eastern","steel",2075,1.09370073202502
"Europe_Eastern","steel",2080,1.09370073202502
"Europe_Eastern","steel",2085,1.09370073202502
"Europe_Eastern","steel",2090,1.09370073202502
"Europe_Eastern","steel",2095,1.09370073202502
"Europe_Eastern","steel",2100,1.09370073202502
"Europe_Non_EU","steel",2015,1.66399935686006
"Europe_Non_EU","steel",2020,1.59241114984249
"Europe_Non_EU","steel",2025,1.52082294282491
"Europe_Non_EU","steel",2030,1.44923473580733
"Europe_Non_EU","steel",2035,1.37764652878976
"Europe_Non_EU","steel",2040,1.30605832177218
"Europe_Non_EU","steel",2045,1.2344701147546
"Europe_Non_EU","steel",2050,1.16288190773702
"Europe_Non_EU","steel",2055,1.16288190773702
"Europe_Non_EU","steel",2060,1.16288190773702
"Europe_Non_EU","steel",2065,1.16288190773702
"Europe_Non_EU","steel",2070,1.16288190773702
"Europe_Non_EU","steel",2075,1.16288190773702
"Europe_Non_EU","steel",2080,1.16288190773702
"Europe_Non_EU","steel",2085,1.16288190773702
"Europe_Non_EU","steel",2090,1.16288190773702
"Europe_Non_EU","steel",2095,1.16288190773702
"Europe_Non_EU","steel",2100,1.16288190773702
"European Free Trade Association","steel",2015,0.951340245375771
"European Free Trade Association","steel",2020,0.921531051891227
"European Free Trade Association","steel",2025,0.891721858406682
"European Free Trade Association","steel",2030,0.861912664922138
"European Free Trade Association","steel",2035,0.832103471437594
"European Free Trade Association","steel",2040,0.80229427795305
"European Free Trade Association","steel",2045,0.772485084468505
"European Free Trade Association","steel",2050,0.742675890983961
"European Free Trade Association","steel",2055,0.742675890983961
"European Free Trade Association","steel",2060,0.742675890983961
"European Free Trade Association","steel",2065,0.742675890983961
"European Free Trade Association","steel",2070,0.742675890983961
"European Free Trade Association","steel",2075,0.742675890983961
"European Free Trade Association","steel",2080,0.742675890983961
"European Free Trade Association","steel",2085,0.742675890983961
"European Free Trade Association","steel",2090,0.742675890983961
"European Free Trade Association","steel",2095,0.742675890983961
"European Free Trade Association","steel",2100,0.742675890983961
"India","steel",2015,2.75918955713734
"India","steel",2020,2.54517230793331
"India","steel",2025,2.33115505872928
"India","steel",2030,2.11713780952525
"India","steel",2035,1.90312056032122
"India","steel",2040,1.68910331111719
"India","steel",2045,1.47508606191315
"India","steel",2050,1.26106881270912
"India","steel",2055,1.26106881270912
"India","steel",2060,1.26106881270912
"India","steel",2065,1.26106881270912
"India","steel",2070,1.26106881270912
"India","steel",2075,1.26106881270912
"India","steel",2080,1.26106881270912
"India","steel",2085,1.26106881270912
"India","steel",2090,1.26106881270912
"India","steel",2095,1.26106881270912
"India","steel",2100,1.26106881270912
"Indonesia","steel",2015,1.45672098845321
"Indonesia","steel",2020,1.44367244169867
"Indonesia","steel",2025,1.43062389494414
"Indonesia","steel",2030,1.41757534818961
"Indonesia","steel",2035,1.40452680143508
"Indonesia","steel",2040,1.39147825468055
"Indonesia","steel",2045,1.37842970792602
"Indonesia","steel",2050,1.36538116117148
"Indonesia","steel",2055,1.36538116117148
"Indonesia","steel",2060,1.36538116117148
"Indonesia","steel",2065,1.36538116117148
"Indonesia","steel",2070,1.36538116117148
"Indonesia","steel",2075,1.36538116117148
"Indonesia","steel",2080,1.36538116117148
"Indonesia","steel",2085,1.36538116117148
"Indonesia","steel",2090,1.36538116117148
"Indonesia","steel",2095,1.36538116117148
"Indonesia","steel",2100,1.36538116117148
"Japan","steel",2015,0.557149932597654
"Japan","steel",2020,0.557149932597654
"Japan","steel",2025,0.557149932597654
"Japan","steel",2030,0.557149932597654
"Japan","steel",2035,0.557149932597654
"Japan","steel",2040,0.557149932597654
"Japan","steel",2045,0.557149932597654
"Japan","steel",2050,0.557149932597654
"Japan","steel",2055,0.557149932597654
"Japan","steel",2060,0.557149932597654
"Japan","steel",2065,0.557149932597654
"Japan","steel",2070,0.557149932597654
"Japan","steel",2075,0.557149932597654
"Japan","steel",2080,0.557149932597654
"Japan","steel",2085,0.557149932597654
"Japan","steel",2090,0.557149932597654
"Japan","steel",2095,0.557149932597654
"Japan","steel",2100,0.557149932597654
"Mexico","steel",2015,1.84742565693339
"Mexico","steel",2020,1.75301535233028
"Mexico","steel",2025,1.65860504772718
"Mexico","steel",2030,1.56419474312407
"Mexico","steel",2035,1.46978443852096
