"region","supplysector","subsector","stub.technology","year","minicam.non.energy.input","input.cost"
"Africa_Northern","elect_td_ind","elect_td_ind","elect_td_ind",2100,"non-energy",0.270530168938371
"Africa_Northern","elect_td_trn","elect_td_trn","elect_td_trn",2100,"non-energy",1.76545106718603
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2015,"non-energy",5.37585194511318
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2015,"non-energy",0.822210611541597
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2015,"non-energy",5.37585194511318
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2020,"non-energy",5.20557092335138
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2020,"non-energy",0.814877914405584
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2020,"non-energy",5.20557092335138
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",4.9889395260814
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",0.796209195496416
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",4.9889395260814
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",4.70235302724526
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",0.760030461494206
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",4.70235302724526
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2035,"non-energy",4.39289911976591
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2035,"non-energy",0.71823481340819
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2035,"non-energy",4.39289911976591
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2040,"non-energy",4.19675174607297
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2040,"non-energy",0.704636753601487
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2040,"non-energy",4.19675174607297
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2045,"non-energy",3.96770460087816
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2045,"non-energy",0.682920764183088
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2045,"non-energy",3.96770460087816
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2050,"non-energy",3.84465615811635
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2050,"non-energy",0.687538032153981
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2050,"non-energy",3.84465615811635
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2055,"non-energy",3.74795814008687
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2055,"non-energy",0.663002714146502
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2055,"non-energy",3.74795814008687
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2060,"non-energy",3.65107971530734
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2060,"non-energy",0.638286989388968
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2060,"non-energy",3.65107971530734
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2065,"non-energy",3.55420129052781
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2065,"non-energy",0.613571264631434
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2065,"non-energy",3.55420129052781
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2070,"non-energy",3.45732286574828
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2070,"non-energy",0.5888555398739
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2070,"non-energy",3.45732286574828
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2075,"non-energy",3.36044444096875
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2075,"non-energy",0.564139815116366
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2075,"non-energy",3.36044444096875
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2080,"non-energy",3.26356601618922
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2080,"non-energy",0.539424090358832
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2080,"non-energy",3.26356601618922
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2085,"non-energy",3.16686799815974
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2085,"non-energy",0.514888772351353
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2085,"non-energy",3.16686799815974
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2090,"non-energy",3.06998957338021
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2090,"non-energy",0.490173047593819
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2090,"non-energy",3.06998957338021
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2095,"non-energy",2.97311114860068
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2095,"non-energy",0.465457322836285
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2095,"non-energy",2.97311114860068
"Africa_Southern","elect_td_bld","elect_td_bld","elect_td_bld",2100,"non-energy",2.87623272382115
"Africa_Southern","elect_td_ind","elect_td_ind","elect_td_ind",2100,"non-energy",0.440741598078751
"Africa_Southern","elect_td_trn","elect_td_trn","elect_td_trn",2100,"non-energy",2.87623272382115
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2015,"non-energy",7.37654673899933
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2015,"non-energy",1.12820722506154
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2015,"non-energy",7.37654673899933
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2020,"non-energy",7.02824016179524
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2020,"non-energy",1.10019780141581
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2020,"non-energy",7.02824016179524
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2025,"non-energy",6.60816780421601
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2025,"non-energy",1.05462973515592
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2025,"non-energy",6.60816780421601
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2030,"non-energy",6.08722575665526
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2030,"non-energy",0.983864242910834
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2030,"non-energy",6.08722575665526
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2035,"non-energy",5.52923017868065
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2035,"non-energy",0.904023857002948
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2035,"non-energy",5.52923017868065
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2040,"non-energy",5.10000717961979
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2040,"non-energy",0.856293800498029
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2040,"non-energy",5.10000717961979
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2045,"non-energy",4.60828311121905
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2045,"non-energy",0.793177048308786
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2045,"non-energy",4.60828311121905
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2050,"non-energy",4.20280253017222
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2050,"non-energy",0.75158517752654
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2050,"non-energy",4.20280253017222
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2055,"non-energy",4.09709667297119
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2055,"non-energy",0.724764288385979
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2055,"non-energy",4.09709667297119
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2060,"non-energy",3.99119360335
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2060,"non-energy",0.697746186825267
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2060,"non-energy",3.99119360335
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2065,"non-energy",3.88529053372882
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2065,"non-energy",0.670728085264556
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2065,"non-energy",3.88529053372882
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2070,"non-energy",3.77938746410763
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2070,"non-energy",0.643709983703844
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2070,"non-energy",3.77938746410763
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2075,"non-energy",3.67348439448645
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2075,"non-energy",0.616691882143132
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2075,"non-energy",3.67348439448645
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2080,"non-energy",3.56758132486526
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2080,"non-energy",0.58967378058242
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2080,"non-energy",3.56758132486526
"Africa_Western","elect_td_bld","elect_td_bld","elect_td_bld",2085,"non-energy",3.46187546766423
"Africa_Western","elect_td_ind","elect_td_ind","elect_td_ind",2085,"non-energy",0.562852891441859
"Africa_Western","elect_td_trn","elect_td_trn","elect_td_trn",2085,"non-energy",3.46187546766423
